"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"HR","DO",5413,NA,1.3431,NA,0.6997,NA,267.9685,NA,139.6021,NA,1.9195,NA,0.4976,NA,NA,3643213720,NA,5206727193,NA,2712521697,NA,19430373,NA,10462782577,NA,354616371,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"CB","DO",437,NA,6.6566,NA,0.315,NA,393.5538,NA,18.6247,NA,21.1307,NA,1.5811,NA,NA,76398352,NA,242520835,NA,11477164,NA,616233,NA,153389117,NA,9866807,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"MB","DO",3262,NA,1.2234,NA,0.315,NA,219.8702,NA,56.616,NA,3.8835,NA,1.8167,NA,NA,846111742,NA,2685918268,NA,691616614,NA,12215926,NA,1478429570,NA,86233591,NA,"No",NA,2,NA,"1",NA,2
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"DR","PT",1627,NA,2.0259,NA,0.0189,NA,129.4549,NA,1.2103,NA,106.9646,NA,11.9194,NA,NA,9781667,NA,516470491,NA,4828423,NA,3989579,NA,43330163,NA,37759280,NA,"No",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10885,"RB","DO",146,NA,1.0578,NA,0.315,NA,199.1644,NA,59.3132,NA,3.3578,NA,1.8059,NA,NA,32469300,NA,103071355,NA,30695695,NA,517519,NA,57076245,NA,3382426,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"CR","DO",923,NA,6.3263,NA,0.5529,NA,570.2541,NA,49.8353,NA,11.4428,NA,0.5108,NA,NA,566604397,NA,1024848749,NA,89562931,NA,1797179,NA,2006197776,NA,58567859,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"DR","PT",427,NA,2.1486,NA,0.0321,NA,109.7551,NA,1.6376,NA,67.0208,NA,10.6682,NA,NA,3676854,NA,114692919,NA,1711304,NA,1044989,NA,10750959,NA,16718421,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"LR","PT",42,NA,0.9601,NA,0.1546,NA,787.5937,NA,126.8125,NA,6.2107,NA,1.6356,NA,NA,15489706,NA,100196881,NA,16132963,NA,127219,NA,61258605,NA,2106129,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"MB","DO",1871,NA,2.659,NA,0.4196,NA,172.0046,NA,27.1426,NA,6.3371,NA,0.9179,NA,NA,375583737,NA,895095763,NA,141247365,NA,5203906,NA,975132912,NA,73406127,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3645,"MB","PT",181,NA,0.9325,NA,0.1467,NA,106.5026,NA,16.7515,NA,6.3578,NA,1.4793,NA,NA,9155061,NA,62422237,NA,9818212,NA,586110,NA,42195890,NA,7048139,NA,"No",NA,NA,NA,NA,NA,NA
