"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","0","...44","...45"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"DR","PT",878,NA,1.8438,NA,0.011,NA,187.2228,NA,1.1141,NA,168.0525,NA,18.0807,NA,NA,4385958,NA,399747333,NA,2378705,NA,2135142,NA,22109054,NA,23722953,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","DO",5410,NA,1.3526,NA,0.3528,NA,274.2969,NA,71.543,NA,3.834,NA,0.8868,NA,NA,1773543424,NA,5027256304,NA,1311224575,NA,18327790,NA,5668693486,NA,331253516,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"CB","DO",433,NA,8.9347,NA,0.1895,NA,408.9586,NA,8.6758,NA,47.1381,NA,3.0948,NA,NA,44545403,NA,235015035,NA,4985670,NA,574667,NA,75937842,NA,9122901,NA,"No",NA,2,1,"2",1,2
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"MB","DO",3223,NA,1.2942,NA,0.1848,NA,236.9012,NA,33.8304,NA,7.0026,NA,2.9747,NA,NA,508641029,NA,2752149757,NA,393017794,NA,11617289,NA,925195468,NA,80849156,NA,"No",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"RB","DO",131,NA,1.18,NA,0.1773,NA,236.1136,NA,35.4772,NA,6.6554,NA,3.3277,NA,NA,18641593,NA,105138303,NA,15797525,NA,445287,NA,31595037,NA,2912306,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"CR","DO",897,NA,6.6252,NA,0.1115,NA,666.7301,NA,11.2206,NA,59.4201,NA,2.1437,NA,NA,126520842,NA,1134741219,NA,19096916,NA,1701950,NA,529338529,NA,56469325,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"LR","PT",42,NA,0.6604,NA,0.0557,NA,723.3033,NA,60.9807,NA,11.8612,NA,2.8494,NA,NA,5117302,NA,91910871,NA,7748884,NA,127071,NA,32256534,NA,2112863,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"DR","PT",334,NA,1.8437,NA,0.0209,NA,127.4948,NA,1.4455,NA,88.2024,NA,14.1201,NA,NA,1984186,NA,94923965,NA,1076206,NA,744532,NA,6722623,NA,11382902,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"MB","DO",1894,NA,2.2365,NA,0.1652,NA,198.3991,NA,14.6519,NA,13.5408,NA,1.9264,NA,NA,159484304,NA,965594632,NA,71309971,NA,4866930,NA,501249932,NA,72294493,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"MB","PT",182,NA,0.7482,NA,0.0681,NA,112.6067,NA,10.249,NA,10.9871,NA,2.4558,NA,NA,4634424,NA,68054290,NA,6194036,NA,604354,NA,27712032,NA,7259967,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"YR","PT",16,NA,0.5797,NA,0.026,NA,702.6751,NA,31.5599,NA,22.2648,NA,1.5477,NA,NA,855736,NA,32865522,NA,1476118,NA,46772,NA,21234591,NA,1189311,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"LR","DO",15,NA,1.0305,NA,0.106,NA,485.4192,NA,49.9161,NA,9.7247,NA,4.2484,NA,NA,2762998,NA,26073807,NA,2681196,NA,53714,NA,6137281,NA,505977,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"VP","PT",114,NA,4.3114,NA,0.2579,NA,126.2233,NA,7.5506,NA,16.717,NA,0.8191,NA,NA,770486,NA,2987453,NA,178708,NA,23668,NA,3647028,NA,901914,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"HR","DO",998,NA,2.1137,NA,0.0621,NA,396.1216,NA,11.6294,NA,34.0621,NA,6.2351,NA,NA,77256463,NA,1244974967,NA,36550201,NA,3142911,NA,199671853,NA,72843843,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"MB","DO",963,NA,0.3822,NA,0.0278,NA,249.3109,NA,18.1161,NA,13.7618,NA,4.508,NA,NA,19559823,NA,704319606,NA,51179137,NA,2825065,NA,156237247,NA,27910366,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"DR","TX",76,NA,4.7478,NA,0.0488,NA,239.9237,NA,2.4675,NA,97.232,NA,9.9706,NA,NA,26887,NA,550625,NA,5663,NA,2295,NA,55225,NA,55225,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"DR","PT",644,NA,4.1451,NA,0.0306,NA,103.3729,NA,0.7622,NA,135.6194,NA,16.4667,NA,NA,4389022,NA,143599067,NA,1058839,NA,1389136,NA,8720576,NA,14124258,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,2728,"MB","PT",47,NA,0.7039,NA,0.0527,NA,172.1082,NA,12.8893,NA,13.3528,NA,2.3386,NA,NA,806991,NA,15309370,NA,1146530,NA,88952,NA,6546471,NA,1302856,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2685,"MB","DO",1525,NA,1.167,NA,0.1677,NA,158.3243,NA,22.7574,NA,6.9571,NA,2.7507,NA,NA,136959554,NA,816462326,NA,117357515,NA,5156899,NA,296815552,NA,46999961,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2685,"HR","DO",1160,NA,1.3852,NA,0.1618,NA,166.913,NA,19.4956,NA,8.5616,NA,1.3415,"W",NA,108906840,NA,673135185,NA,78623048,NA,4032851,NA,501767758,"W",72369642,NA,"Yes",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"VP","PT",813,NA,7.4857,NA,0.9377,NA,24.2061,NA,3.0321,NA,7.9833,NA,0.1699,NA,NA,8505347,NA,9070661,NA,1136208,NA,374727,NA,53378163,NA,14983841,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"HR","DO",54,NA,0.1357,NA,0.0157,NA,568.3635,NA,65.6361,NA,8.6593,NA,1.6512,NA,NA,2562916,NA,163561942,NA,18888550,NA,287777,NA,99058351,NA,6255775,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"DR","DO",41,NA,0,NA,0,NA,455.421,NA,1.1092,NA,410.5755,NA,164.7278,NA,NA,0,NA,17286869,NA,42104,NA,37958,NA,104942,NA,274057,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"RB","DO",15,NA,0.1268,NA,0.0114,NA,399.6029,NA,35.8165,NA,11.157,NA,1.9069,NA,NA,374064,NA,32906896,NA,2949449,NA,82349,NA,17256952,NA,1256269,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"MB","DO",1399,NA,0.1115,NA,0.0159,NA,203.484,NA,28.9875,NA,7.0197,NA,2.4539,NA,NA,15858418,NA,998713889,NA,142272806,NA,4908070,NA,406991963,NA,51519197,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,2541,"LR","DO",110,NA,0.1335,NA,0.0078,NA,663.9399,NA,38.5534,NA,17.2213,NA,2.6056,NA,NA,3053610,NA,393871053,NA,22871129,NA,593233,NA,151162455,NA,12421319,NA,"No",NA,NA,NA,NA,NA,NA
