"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","VOMS","VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train Revenue Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train Revenue Hours","Train Revenue Hours Questionable","Unlinked
Passenger
Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable?","...42","...43","...44","1"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11000,NA,0,NA,458032453,NA,539649617,NA,498192746,NA,41456871,NA,41151308,NA,36894081,NA,4257227,NA,39164971,NA,37962110,NA,2192337,NA,2081222,NA,3445544725,NA,12679232336,NA,2661.5,NA,"No",NA,NA,NA,"Hide questionable data tags"
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4020,NA,0,NA,146645516,NA,193961021,NA,164732409,NA,29228612,NA,10528872,NA,8802202,NA,1726670,NA,12598827,NA,12015014,NA,515580,NA,455279,NA,276498375,NA,3401950344,NA,9284.3,NA,"No",NA,NA,NA,"Show questionable data tags"
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3516,NA,0,NA,96711144,NA,143179609,NA,127892347,NA,15287262,NA,9435493,NA,8708741,NA,726752,NA,7635787,NA,7410377,NA,381916,NA,358160,NA,457355988,NA,2253459695,NA,3952.5,NA,"No",NA,NA,NA,"1"
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3200,NA,0,NA,130137746,NA,161195839,NA,144709191,NA,18270793,NA,10302814,NA,9292546,NA,1083103,NA,13968996,NA,13505592,NA,567301,NA,540353,NA,406647664,NA,2032392624,NA,2774.2,NA,"No",NA,NA,NA,NA
"King County Department of Transportation - Metro Transit Division","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2875,NA,0,NA,35544654,NA,66586626,NA,58264171,"Q",9579703,NA,4769428,NA,4325894,NA,487049,NA,60336,NA,59960,NA,12306,NA,12130,NA,126268526,NA,618636709,NA,1761.1,NA,"Yes",NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2728,NA,0,NA,123496788,NA,129903748,NA,123575311,NA,6328437,NA,10436799,NA,9693529,NA,743270,NA,11934438,NA,11806097,NA,721699,NA,663942,NA,515964831,NA,2147039829,NA,1512.4,NA,"No",NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2344,NA,0,NA,77146115,NA,101756682,NA,93325221,NA,8431461,NA,7292172,NA,6474407,NA,817765,NA,11518475,NA,11305041,NA,759600,NA,742922,NA,405950873,NA,1775931100,NA,2560.1,NA,"No",NA,NA,NA,NA
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2340,NA,0,NA,81049973,NA,101055548,NA,91714092,NA,9341456,NA,7931724,NA,7267103,NA,664621,NA,12206301,NA,11732638,NA,824290,NA,794341,NA,344297259,NA,1530275060,NA,3138.4,NA,"No",NA,NA,NA,NA
"Metropolitan Transit Authority of Harris County, Texas","Houston","TX","6008","60008","Independent Public Agency or Authority of Transit Service","Full Reporter",4944332,2240,NA,0,NA,44120689,NA,82128482,NA,72016056,NA,12415766,NA,4898896,NA,4500013,NA,476629,NA,1505008,NA,1497650,NA,133544,NA,132321,NA,86089171,NA,573489760,NA,4418.7,NA,"No",NA,NA,NA,NA
"Puerto Rico Highway and Transportation Authority","San Juan","PR","4105","40105","State Government Unit or Department of Transportation","Full Reporter",2148346,1800,NA,0,NA,0,NA,21305913,NA,18823628,NA,2482285,NA,1990041,NA,1757349,NA,232692,NA,0,NA,0,NA,0,NA,0,NA,25796436,NA,101942091,NA,0,NA,"No",NA,NA,NA,NA
