"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","1","...59","...60","...61","...62","...63","...64"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"MB","DO",3257,NA,0,NA,7.0479,NA,2.099,NA,56.6559,NA,85199920,NA,98326271,NA,85993623,NA,12332648,NA,13956794,NA,12201259,NA,1755535,NA,0,NA,0,NA,0,NA,0,NA,691273010,NA,1450951265,NA,1760.04,NA,"No",NA,NA,NA,NA,NA,NA,NA,"Hide questionable data tags",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"HR","DO",5342,NA,582,NA,18.2244,NA,3.9577,NA,140.7739,NA,375105834,NA,360432838,NA,349479185,NA,10953653,NA,20201171,NA,19176403,NA,1024768,NA,39619061,NA,38399138,NA,2219610,NA,2107003,NA,2699537600,NA,10683847750,NA,493.68,NA,"No",NA,NA,NA,NA,NA,NA,NA,"Show questionable data tags",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"DR","PT",1738,NA,0,NA,9.5656,NA,9.0819,NA,1.2702,NA,0,NA,53544203,NA,43598150,NA,9946053,NA,5520143,NA,4557799,NA,962344,NA,0,NA,0,NA,0,NA,0,NA,5789381,NA,52578548,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,2,"1",2,NA,NA,NA,NA,2
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"CB","DO",453,NA,0,NA,15.6291,NA,12.5686,NA,21.4149,NA,8850905,NA,15221624,NA,9040353,NA,6181271,NA,971503,NA,578430,NA,393073,NA,0,NA,0,NA,0,NA,0,NA,12387027,NA,155687450,NA,357.06,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"RB","DO",146,NA,0,NA,6.5501,NA,1.8471,NA,60.0043,NA,3218933,NA,3669188,NA,3455644,NA,213544,NA,560251,NA,527568,NA,32683,NA,0,NA,0,NA,0,NA,0,NA,31656362,NA,58472429,NA,64.63,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"LR","DO",14,NA,14,NA,9.8163,NA,2.2378,NA,107.2993,NA,517339,NA,516760,NA,506091,NA,10669,NA,57883,NA,51556,NA,6327,NA,516760,NA,506091,NA,57883,NA,51556,NA,5531921,NA,12379497,NA,12.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"MB","PT",180,NA,0,NA,11.8644,NA,4.0365,NA,17.2543,NA,7315390,NA,8304236,NA,7270944,NA,1033292,NA,741863,NA,612835,NA,129028,NA,0,NA,0,NA,0,NA,0,NA,10574069,NA,42682026,NA,676,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"DR","PT",528,NA,0,NA,16.6712,NA,6.1478,NA,1.7497,NA,0,NA,18327886,NA,15341120,NA,2986766,NA,1087736,NA,920219,NA,167517,NA,0,NA,0,NA,0,NA,0,NA,1610072,NA,9898392,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"MB","DO",1853,NA,0,NA,14.2297,NA,7.739,NA,28.5682,NA,71780635,NA,93549085,NA,71664794,NA,21884291,NA,6075145,NA,5036295,NA,1038850,NA,0,NA,0,NA,0,NA,0,NA,143878120,NA,1113473813,NA,5592.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"YR","PT",17,NA,12,NA,25.4694,NA,14.6397,NA,54.2849,NA,1262142,NA,1300869,NA,1272963,NA,27906,NA,53493,NA,49980,NA,3513,NA,1018944,NA,1018944,NA,40276,NA,40276,NA,2713160,NA,39719834,NA,69.7,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
