"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","1"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"HR","DO",5324,NA,580,NA,18.2291,NA,4.1182,NA,140.4,NA,366363402,NA,357939619,NA,347091534,NA,10848085,NA,20057049,NA,19040477,NA,1016572,NA,39342476,NA,38134129,NA,2203621,NA,2091929,NA,2673282334,NA,11009026066,NA,489.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hide questionable data tags"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"MB","DO",3286,NA,0,NA,7.0776,NA,2.0891,NA,60.6009,NA,85380238,NA,98994910,NA,86863364,NA,12131546,NA,14005425,NA,12272959,NA,1732466,NA,0,NA,0,NA,0,NA,0,NA,743752458,NA,1553770171,NA,1760,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Show questionable data tags"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"DR","PT",1794,NA,0,NA,10.0312,NA,8.914,NA,1.2981,NA,0,NA,59318874,NA,48814480,NA,10504394,NA,5890931,NA,4866273,NA,1024658,NA,0,NA,0,NA,0,NA,0,NA,6316903,NA,56308809,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"CB","DO",455,NA,0,NA,15.7919,NA,12.5356,NA,21.6636,NA,8825052,NA,15561164,NA,9214967,NA,6346197,NA,983507,NA,583524,NA,399983,NA,0,NA,0,NA,0,NA,0,NA,12641225,NA,158465369,NA,357.06,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"RB","DO",145,NA,0,NA,6.5205,NA,1.8999,NA,62.7284,NA,2799614,NA,3183091,NA,2988560,NA,194531,NA,488264,NA,458335,NA,29929,NA,0,NA,0,NA,0,NA,0,NA,28750626,NA,54624590,NA,64.63,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"MB","DO",1857,NA,0,NA,14.2257,NA,8.0715,NA,29.1626,NA,72094744,NA,94165129,NA,72451012,NA,21714117,NA,6132412,NA,5092968,NA,1039444,NA,0,NA,0,NA,0,NA,0,NA,148523945,NA,1198810970,NA,5614.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"CR","DO",1267,NA,134,NA,33.1016,NA,23.0094,NA,48.996,NA,61199622,NA,64713399,NA,61393168,NA,3320231,NA,2220017,NA,1854688,NA,365329,NA,9525861,NA,9031214,NA,325724,NA,277938,NA,90872267,NA,2090913150,NA,1001.8,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"DR","PT",474,NA,0,NA,16.7954,NA,6.0976,NA,1.7499,NA,0,NA,17857141,NA,14882395,NA,2974746,NA,1046068,NA,886102,NA,159966,NA,0,NA,0,NA,0,NA,0,NA,1550589,NA,9454903,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"VP","PT",204,NA,0,NA,43.9756,NA,35.2859,NA,7.2191,NA,0,NA,4701081,NA,4701081,NA,0,NA,106902,NA,106902,NA,0,NA,0,NA,0,NA,0,NA,0,NA,771732,NA,27231268,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"MB","PT",182,NA,0,NA,11.7387,NA,4.3748,NA,18.3007,NA,7333313,NA,8324242,NA,7294248,NA,1029994,NA,746503,NA,621386,NA,125117,NA,0,NA,0,NA,0,NA,0,NA,11371784,NA,49749447,NA,691,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"LR","PT",42,NA,20,NA,17.105,NA,3.9085,NA,135.4425,NA,1955336,NA,1991437,NA,1951272,NA,40165,NA,116361,NA,114076,NA,2285,NA,1284696,NA,1262188,NA,72244,NA,70017,NA,15450736,NA,60389250,NA,34.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
