"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11000,"HR","DO",5282,NA,1.24458146991952,NA,0.637204829361146,NA,274.628984968267,NA,140.605432214611,NA,1.95318901014501,NA,0.478378420892653,NA,NA,3313600123,NA,5200211879,NA,2662421226,NA,18935408,NA,10870498442,NA,345386041,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11000,"MB","DO",3314,NA,1.1715993595305,NA,0.327272408301337,NA,215.570500878525,NA,60.2170668730242,NA,3.57989042098455,NA,1.7072470533713,NA,NA,871393139,NA,2662592742,NA,743763755,NA,12351378,NA,1559582567,NA,87657339,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11000,"DR","PT",1840,NA,2.0191099421655,NA,0.0290445707523292,NA,97.3213722640168,NA,1.39995223806605,NA,69.5176375434497,NA,8.04079129611816,NA,NA,13410692,NA,461728015,NA,6641883,NA,4744364,NA,57423206,NA,54071891,NA,"No",NA,2,NA,"1",NA,2
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11000,"CB","DO",456,NA,6.15029549718203,NA,0.32727240257327,NA,419.421497550388,NA,22.3184530332058,NA,18.7925882195493,NA,1.53034927694412,NA,NA,77665132,NA,237310361,NA,12627870,NA,565804,NA,155069411,NA,9258644,NA,"No",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11000,"RB","DO",108,NA,0.782777005723895,NA,0.32727240527081,NA,161.72095433939,NA,67.6141548899965,NA,2.39182098190089,NA,1.31078431292318,NA,NA,15725983,NA,48051662,NA,20089991,NA,297127,NA,36658710,NA,1818831,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4020,"MB","DO",1870,NA,2.35592365413418,NA,0.439013780779565,NA,157.885887782205,NA,29.4211913044683,NA,5.3664002299671,NA,0.791835175924091,NA,NA,355201184,NA,809088916,NA,150769395,NA,5124517,NA,1021789560,NA,72336027,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4020,"CR","DO",1267,NA,6.05716693272446,NA,0.573615575516822,NA,492.564261165873,NA,46.6459873544538,NA,10.5596277215224,NA,0.431486399707634,NA,NA,541198071,NA,943485662,NA,89348383,NA,1915457,NA,2186594207,NA,63090304,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4020,"DR","PT",432,NA,1.97260313111155,NA,0.0325478892650111,NA,104.25628152435,NA,1.72022534726702,NA,60.6061767953749,NA,9.7367823971699,NA,NA,2761672,NA,84849496,NA,1400014,NA,813855,NA,8714326,NA,13833948,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4020,"VP","PT",198,NA,2.89354408733931,NA,0.198524758213083,NA,106.995511255503,NA,7.34091389684538,NA,14.5752303812584,NA,0.371968826873584,NA,NA,2209898,NA,11131599,NA,763734,NA,104038,NA,29926161,NA,4543569,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4020,"MB","PT",181,NA,1.08730220400518,NA,0.214772659829544,NA,94.8732308758177,NA,18.7401221728093,NA,5.06257269835054,NA,1.19384524571108,NA,NA,12705422,NA,59157539,NA,11685272,NA,623543,NA,49552100,NA,7239350,NA,"No",NA,NA,NA,NA,NA,NA
