"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","0","...65"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"DR","PT",878,NA,0,NA,11.1107,NA,9.2946,NA,1.1141,NA,0,NA,29546888,NA,23722953,NA,5823935,NA,2736611,NA,2135142,NA,601469,NA,0,NA,0,NA,0,NA,0,NA,2378705,NA,22109054,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hide questionable data tags",NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"CB","DO",433,NA,0,NA,15.8751,NA,15.2312,NA,8.6758,NA,9587797,NA,15389516,NA,9122901,NA,6266615,NA,965553,NA,574667,NA,390886,NA,0,NA,0,NA,0,NA,0,NA,4985670,NA,75937842,NA,353.32,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Show questionable data tags",NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"RB","DO",131,NA,0,NA,6.5403,NA,2,NA,35.4772,NA,2948435,NA,3098828,NA,2912306,NA,186522,NA,473910,NA,445287,NA,28623,NA,0,NA,0,NA,0,NA,0,NA,15797525,NA,31595037,NA,64.62,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2",1
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"MB","DO",3223,NA,0,NA,6.9594,NA,2.3541,NA,33.8304,NA,84020676,NA,92862898,NA,80849156,NA,12013742,NA,13349811,NA,11617289,NA,1732522,NA,0,NA,0,NA,0,NA,0,NA,393017794,NA,925195468,NA,1765.1,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","DO",5410,NA,591,NA,18.0738,NA,4.3232,NA,71.543,NA,373605030,NA,341593245,NA,331253516,NA,10339729,NA,19306074,NA,18327790,NA,978284,NA,37477972,NA,36328789,NA,2117309,NA,2010021,NA,1311224575,NA,5668693486,NA,493.68,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"YR","PT",16,NA,12,NA,25.4278,NA,14.3854,NA,31.5599,NA,1258231,NA,1214920,NA,1189311,NA,25609,NA,49825,NA,46772,NA,3053,NA,999367,NA,999367,NA,39505,NA,39505,NA,1476118,NA,21234591,NA,69.7,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"VP","PT",114,NA,0,NA,38.1069,NA,20.4077,NA,7.5506,NA,0,NA,901914,NA,901914,NA,0,NA,23668,NA,23668,NA,0,NA,0,NA,0,NA,0,NA,0,NA,178708,NA,3647028,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"MB","PT",182,NA,0,NA,12.0128,NA,4.474,NA,10.249,NA,7538061,NA,8425377,NA,7259967,NA,1165410,NA,700703,NA,604354,NA,96349,NA,0,NA,0,NA,0,NA,0,NA,6194036,NA,27712032,NA,668,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"LR","PT",42,NA,20,NA,16.6274,NA,4.1627,NA,60.9807,NA,2074171,NA,2162618,NA,2112863,NA,49755,NA,128491,NA,127071,NA,1420,NA,1243333,NA,1243333,NA,74420,NA,73539,NA,7748884,NA,32256534,NA,34.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3494,"DR","PT",334,NA,0,NA,15.2887,NA,6.2466,NA,1.4455,NA,0,NA,13578585,NA,11382902,NA,2195683,NA,866746,NA,744532,NA,122214,NA,0,NA,0,NA,0,NA,0,NA,1076206,NA,6722623,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
