"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"HR","DO",5342,NA,1.2967,NA,0.7311,NA,249.6914,NA,140.7739,NA,1.7737,NA,0.4482,NA,NA,3500448144,NA,4788183315,NA,2699537600,NA,19176403,NA,10683847750,NA,349479185,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"CB","DO",453,NA,6.1003,NA,0.341,NA,383.1416,NA,21.4149,NA,17.8913,NA,1.4235,NA,NA,75564999,NA,221620597,NA,12387027,NA,578430,NA,155687450,NA,9040353,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"MB","DO",3257,NA,1.2431,NA,0.341,NA,206.5561,NA,56.6559,NA,3.6458,NA,1.737,NA,NA,859309666,NA,2520243905,NA,691273010,NA,12201259,NA,1450951265,NA,85993623,NA,"No",NA,2,NA,"1",NA,2
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"DR","PT",1738,NA,2.0242,NA,0.0247,NA,104.022,NA,1.2702,NA,81.8933,NA,9.0172,NA,NA,11718772,NA,474111585,NA,5789381,NA,4557799,NA,52578548,NA,43598150,NA,"No",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10936,"RB","DO",146,NA,1.0711,NA,0.341,NA,188.4973,NA,60.0043,NA,3.1414,NA,1.7007,NA,NA,33907371,NA,99445139,NA,31656362,NA,527568,NA,58472429,NA,3455644,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"DR","PT",528,NA,2.1514,NA,0.0357,NA,105.4836,NA,1.7497,NA,60.288,NA,9.8064,NA,NA,3463966,NA,97067992,NA,1610072,NA,920219,NA,9898392,NA,15341120,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"LR","PT",42,NA,0.9731,NA,0.1625,NA,752.3298,NA,125.622,NA,5.9888,NA,1.5339,NA,NA,15059691,NA,92685527,NA,15476385,NA,123198,NA,60426164,NA,2093179,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"VP","PT",195,NA,2.9409,NA,0.2129,NA,97.3426,NA,7.0459,NA,13.8155,NA,0.3664,NA,NA,2138061,NA,10043909,NA,727002,NA,103181,NA,27415332,NA,4495514,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"MB","DO",1853,NA,2.6144,NA,0.4662,NA,160.2193,NA,28.5682,NA,5.6083,NA,0.7247,NA,NA,376157230,NA,806911681,NA,143878120,NA,5036295,NA,1113473813,NA,71664794,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"MB","PT",180,NA,1.0471,NA,0.1811,NA,99.7499,NA,17.2543,NA,5.7811,NA,1.4322,NA,NA,11072354,NA,61130212,NA,10574069,NA,612835,NA,42682026,NA,7270944,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"YR","PT",17,NA,0.8476,NA,0.0747,NA,616.1784,NA,54.2849,NA,11.3508,NA,0.7753,NA,NA,2299664,NA,30796596,NA,2713160,NA,49980,NA,39719834,NA,1272963,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"LR","DO",14,NA,1.0149,NA,0.2846,NA,382.6147,NA,107.2993,NA,3.5659,NA,1.5934,NA,NA,5614088,NA,19726085,NA,5531921,NA,51556,NA,12379497,NA,506091,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4013,"CR","DO",1184,NA,6.5316,NA,0.5957,NA,516.2364,NA,47.0797,NA,10.9652,NA,0.4676,NA,NA,578558201,NA,971275617,NA,88578277,NA,1881455,NA,2077067508,NA,61456337,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"HR","DO",68,NA,0.7806,NA,0.2205,NA,502.9213,NA,142.0515,NA,3.5404,NA,0.708,NA,NA,35622352,NA,161559460,NA,45632924,NA,321242,NA,228179477,NA,7010664,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"RB","DO",33,NA,0.7776,NA,0.1819,NA,261.8762,NA,61.2754,NA,4.2738,NA,0.6514,NA,NA,5869463,NA,32258690,NA,7548090,NA,123183,NA,49520717,NA,1971687,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"LR","DO",181,NA,0.7758,NA,0.1435,NA,464.0264,NA,85.8313,NA,5.4063,NA,0.7393,NA,NA,52570228,NA,366354851,NA,67764920,NA,789513,NA,495532352,NA,16699100,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"MB","DO",1750,NA,0.8157,NA,0.196,NA,176.8448,NA,42.5014,NA,4.1609,NA,1.0331,NA,NA,219562101,NA,1119992157,NA,269169596,NA,6333193,NA,1084089074,NA,66448233,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"VP","PT",1340,NA,3.9334,NA,0.9458,NA,20.8213,NA,5.0065,NA,4.1589,NA,0.0929,NA,NA,14776930,NA,15624034,NA,3756783,NA,750387,NA,168255674,NA,30723839,NA,"No",NA,NA,NA,NA,NA,NA
"Los Angeles County Metropolitan Transportation Authority dba: Metro","Los Angeles","CA","9154","90154","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,3505,"MB","PT",133,NA,0.4308,NA,0.1238,NA,96.5135,NA,27.7407,NA,3.4791,NA,0.7369,NA,NA,5721070,NA,46207678,NA,13281369,NA,478769,NA,62702742,NA,5708735,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"MB","DO",986,NA,1.3796,NA,0.2696,NA,173.9633,NA,33.994,NA,5.1175,NA,1.0779,NA,NA,139520130,NA,517526931,NA,101129569,NA,2974921,NA,480141778,NA,32853414,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"SR","DO",8,NA,0.9652,NA,0.1405,NA,241.7736,NA,35.1913,NA,6.8703,NA,6.2565,NA,NA,1368135,NA,9738639,NA,1417507,NA,40280,NA,1556551,NA,193810,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"DT","PT",52,NA,3.9739,NA,0.338,NA,31.2159,NA,2.6553,NA,11.7559,NA,0.7506,NA,NA,412730,NA,1220979,NA,103861,NA,39114,NA,1626743,NA,1411445,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"DR","PT",320,NA,1.0109,NA,0.0135,NA,100.557,NA,1.3446,NA,74.7871,NA,7.471,NA,NA,863494,NA,63879758,NA,854155,NA,635259,NA,8550338,NA,7802103,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"MB","PT",29,NA,1.2561,NA,0.1375,NA,111.0043,NA,12.1516,NA,9.135,NA,2.3832,NA,NA,1109846,NA,8071455,NA,883578,NA,72713,NA,3386876,NA,964917,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"FB","DO",2,NA,4.368,NA,0.4435,NA,1208.9634,NA,122.7402,NA,9.8498,NA,1.975,NA,NA,2620614,NA,5909413,NA,599954,NA,4888,NA,2992092,NA,48762,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"VP","DO",1617,NA,2.1018,NA,0.7847,NA,17.2443,NA,6.4382,NA,2.6784,NA,0.1475,NA,NA,7622086,NA,9713077,NA,3626422,NA,563263,NA,65856719,NA,15199378,NA,"No",NA,NA,NA,NA,NA,NA
"King County Department of Transportation","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3154,"TB","DO",140,NA,1.1794,NA,0.3219,NA,152.8852,NA,41.7292,NA,3.6637,NA,1.9441,NA,NA,22808461,NA,70853735,NA,19339147,NA,463444,NA,36445193,NA,3130521,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"HR","DO",954,NA,2.2983,NA,0.5257,NA,309.3693,NA,70.7636,NA,4.3719,NA,0.7485,NA,NA,521845597,NA,992646766,NA,227053037,NA,3208614,NA,1326262650,NA,78379605,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"DR","PT",633,NA,4.0097,NA,0.0807,NA,56.696,NA,1.1417,NA,49.6589,NA,5.3977,NA,NA,8870258,NA,109855139,NA,2212193,NA,1937617,NA,20352131,NA,19114755,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"DT","PT",252,NA,5.054,NA,0.0657,NA,119.82,NA,1.5578,NA,76.9171,NA,4.9773,NA,NA,790217,NA,12026450,NA,156356,NA,100371,NA,2416262,NA,2215257,NA,"No",NA,NA,NA,NA,NA,NA
"Washington Metropolitan Area Transit Authority","Washington","DC","3030","30030","Independent Public Agency or Authority of Transit Service","Full Reporter",4586770,3129,"MB","DO",1290,NA,1.048,NA,0.2045,NA,159.82,NA,31.1784,NA,5.126,NA,1.7103,NA,NA,129035457,NA,631132672,NA,123124352,NA,3949021,NA,369020804,NA,40026923,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2719,"MB","DO",1579,NA,1.0847,NA,0.3335,NA,140.449,NA,43.1774,NA,3.2528,NA,1.3224,NA,NA,270336920,NA,810708270,NA,249231171,NA,5772259,NA,613043935,NA,52290416,NA,"No",NA,NA,NA,NA,NA,NA
"Chicago Transit Authority","Chicago","IL","5066","50066","Independent Public Agency or Authority of Transit Service","Full Reporter",8608208,2719,"HR","DO",1140,NA,1.2793,NA,0.4875,NA,147.7243,NA,56.2933,NA,2.6242,NA,0.4445,NA,NA,294492127,NA,604098753,NA,230204047,NA,4089367,NA,1359029663,NA,73612276,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"FB","PT",9,NA,8.1458,NA,1.1324,NA,464.515,NA,64.5731,NA,7.1936,NA,0.6466,NA,NA,12133183,NA,10714967,NA,1489508,NA,23067,NA,16570127,NA,227257,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"MB","PT",8,NA,0.2703,NA,0.0934,NA,82.6843,NA,28.5615,NA,2.895,NA,1.377,NA,NA,234672,NA,2513438,NA,868211,NA,30398,NA,1825365,NA,380300,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"MB","DO",767,NA,0.9296,NA,0.2256,NA,196.5658,NA,47.7074,NA,4.1202,NA,1.5801,NA,NA,98035221,NA,434511798,NA,105457861,NA,2210516,NA,274990173,NA,21669220,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"DR","PT",689,NA,3.0581,NA,0.0587,NA,76.6369,NA,1.47,NA,52.1349,NA,6.0604,NA,NA,6070760,NA,103493764,NA,1985115,NA,1350443,NA,17077017,NA,17667292,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"CR","PT",436,NA,6.4325,NA,0.5473,NA,499.3299,NA,42.4821,NA,11.7539,NA,0.572,NA,NA,218382654,NA,399040465,NA,33949637,NA,799152,NA,697665040,NA,24911491,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"HR","DO",336,NA,1.3935,NA,0.6441,NA,230.5686,NA,106.5679,NA,2.1636,NA,0.6366,NA,NA,228678232,NA,355050078,NA,164102709,NA,1539889,NA,557734891,NA,23634793,NA,"No",NA,NA,NA,NA,NA,NA
"Massachusetts Bay Transportation Authority","Boston","MA","1003","10003","Independent Public Agency or Authority of Transit Service","Full Reporter",4181019,2453,"RB","DO",30,NA,1.0285,NA,0.5862,NA,147.2374,NA,83.9161,NA,1.7546,NA,0.9294,NA,NA,10838085,NA,18489929,NA,10538096,NA,125579,NA,19893655,NA,1064286,NA,"No",NA,NA,NA,NA,NA,NA
