"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle 
Revenue 
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train 
Revenue
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train 
Revenue 
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","1"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"RB","DO",156,NA,0,NA,6.3536,NA,1.7964,"W",35.5849,"W",3103987,NA,3350566,NA,3151031,NA,199535,NA,527544,NA,495948,NA,31596,NA,0,NA,0,NA,0,NA,0,NA,17648255,"W",31702817,"W",71.27,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hide questionable data tags"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"MB","DO",3201,NA,0,NA,7.0099,NA,2.203,"W",35.2741,"W",80558004,NA,91546649,NA,80118986,NA,11427663,NA,13066490,NA,11429343,NA,1637147,NA,0,NA,0,NA,0,NA,0,NA,403160315,"W",888168117,"W",1749.55,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Show questionable data tags"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"HR","DO",5413,NA,527,NA,18.2156,NA,4.2032,NA,62.4037,NA,376401985,NA,334949157,NA,324782077,NA,10167080,NA,18782357,NA,17829918,NA,952439,NA,36770774,NA,35625281,NA,2060234,NA,1955760,NA,1112653405,NA,4676670633,NA,493.68,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"DR","PT",1222,NA,0,NA,10.6664,NA,8.7041,NA,1.1097,NA,0,NA,30098565,NA,24052883,NA,6045682,NA,2869835,NA,2255009,NA,614826,NA,0,NA,0,NA,0,NA,0,NA,2502323,NA,21780544,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10427,"CB","DO",435,NA,0,NA,15.7982,NA,14.5363,NA,8.2003,NA,8550767,NA,14329291,NA,8690192,NA,5639099,NA,902454,NA,550076,NA,352378,NA,0,NA,0,NA,0,NA,0,NA,4510813,NA,65570465,NA,356.72,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"YR","PT",16,NA,12,NA,24.6336,NA,15.5642,NA,43.2732,NA,1120969,NA,1267915,NA,1236978,NA,30937,NA,53795,NA,50215,NA,3580,NA,946389,NA,946389,NA,53795,NA,50215,NA,2172963,NA,33820460,NA,69.7,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"VP","PT",168,NA,0,NA,43.4058,NA,28.8546,NA,7.2005,NA,0,NA,2881885,NA,2881885,NA,0,NA,66394,NA,66394,NA,0,NA,0,NA,0,NA,0,NA,0,NA,478068,NA,13794462,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"MB","PT",182,NA,0,NA,12.1482,NA,4.5291,NA,13.6184,NA,7391693,NA,8205631,NA,7055377,NA,1150254,NA,678506,NA,580777,NA,97729,NA,0,NA,0,NA,0,NA,0,NA,7909259,NA,35822144,NA,679,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"MB","DO",1880,NA,0,NA,14.1092,NA,7.4756,NA,22.553,NA,70941279,NA,89655126,NA,69544902,NA,20110224,NA,5952246,NA,4929055,NA,1023191,NA,0,NA,0,NA,0,NA,0,NA,111164944,NA,831026106,NA,5544.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3646,"LR","PT",42,NA,20,NA,16.5765,NA,3.7544,NA,104.7091,NA,1809860,NA,1929113,NA,1893039,NA,36074,NA,115699,NA,114200,NA,1499,NA,1096779,NA,1076347,NA,64689,NA,63804,NA,11957780,NA,44894834,NA,34.08,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
