"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA Population","Agency Voms","Modes","Facility Type","Pre1940","1940's","1950's","1960's","1970's","1980's","1990's","2000's","2010's","2020's","Total Facilities"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"DR","Administrative Office / Sales Office",1,0,0,0,0,0,0,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"DR","Maintenance Facility (Service and Inspection)",0,0,1,0,0,0,0,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"DR","Other, Administrative & Maintenance (describe in Notes)",1,0,1,0,0,0,0,0,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"FB","Ferryboat Terminal",0,0,0,0,0,0,1,0,2,0,3
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"FB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,0,1,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Administrative Office / Sales Office",0,0,0,0,1,0,0,0,0,5,6
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","At-Grade Fixed Guideway Station",0,0,0,0,0,0,0,2,1,0,3
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Bus Transfer Center",0,0,0,0,0,1,2,9,3,0,15
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Elevated Fixed Guideway Station",0,0,0,0,0,0,0,3,0,1,4
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Exclusive Platform Station",0,0,0,0,0,0,0,4,0,0,4
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,1,1,1,0,0,0,3
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Maintenance Facility (Service and Inspection)",0,0,0,0,2,2,3,0,0,1,8
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,5,10,7,6,2,1,31
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Parking Structure",0,0,0,0,0,2,3,5,6,1,17
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Revenue Collection Facility",0,0,0,0,0,0,1,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Surface Parking Lot",2,1,7,12,12,13,26,19,8,1,101
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,2350,"MB","Underground Fixed Guideway Station",0,0,0,0,0,0,0,5,2,0,7
