"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"HR","DO",5324,NA,1.2535,NA,0.6028,NA,291.954,NA,140.4,NA,2.0794,NA,0.5049,NA,NA,3351083122,NA,5558943117,NA,2673282334,NA,19040477,NA,11009026066,NA,347091534,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"MB","DO",3286,NA,1.1564,NA,0.3094,NA,226.4631,NA,60.6009,NA,3.737,NA,1.7888,NA,NA,860046215,NA,2779372331,NA,743752458,NA,12272959,NA,1553770171,NA,86863364,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"DR","PT",1794,NA,2.035,NA,0.0275,NA,95.9838,NA,1.2981,NA,73.9418,NA,8.295,NA,NA,12854659,NA,467083460,NA,6316903,NA,4866273,NA,56308809,NA,48814480,NA,"No",NA,2,NA,"1",NA,2
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"CB","DO",455,NA,6.0391,NA,0.3095,NA,422.7102,NA,21.6636,NA,19.5125,NA,1.5566,NA,NA,76341181,NA,246661551,NA,12641225,NA,583524,NA,158465369,NA,9214967,NA,"No",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,11004,"RB","DO",145,NA,1.0419,NA,0.3095,NA,211.1801,NA,62.7284,NA,3.3666,NA,1.7719,NA,NA,29956666,NA,96791239,NA,28750626,NA,458335,NA,54624590,NA,2988560,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"MB","DO",1857,NA,2.5199,NA,0.4172,NA,176.1252,NA,29.1626,NA,6.0394,NA,0.7482,NA,NA,374258188,NA,896999917,NA,148523945,NA,5092968,NA,1198810970,NA,72451012,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"CR","DO",1267,NA,6.4067,NA,0.5693,NA,551.3824,NA,48.996,NA,11.2536,NA,0.4891,NA,NA,582194827,NA,1022642280,NA,90872267,NA,1854688,NA,2090913150,NA,61393168,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"DR","PT",474,NA,1.8549,NA,0.0304,NA,106.9028,NA,1.7499,NA,61.0909,NA,10.0188,NA,NA,2876117,NA,94726826,NA,1550589,NA,886102,NA,9454903,NA,14882395,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"VP","PT",204,NA,2.8408,NA,0.1796,NA,114.1961,NA,7.2191,NA,15.8187,NA,0.4483,NA,NA,2192372,NA,12207787,NA,771732,NA,106902,NA,27231268,NA,4701081,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,4056,"MB","PT",182,NA,1.0781,NA,0.2043,NA,96.5541,NA,18.3007,NA,5.276,NA,1.206,NA,NA,12260409,NA,59997347,NA,11371784,NA,621386,NA,49749447,NA,7294248,NA,"No",NA,NA,NA,NA,NA,NA
