"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA Population","Agency Voms","Modes","Facility Type","Pre1940","1940's","1950's","1960's","1970's","1980's","1990's","2000's","2010's","2020's","Total Facilities"
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"DR","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"FB","Ferryboat Terminal",0,0,0,0,0,0,1,0,2,0,3
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"FB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,0,1,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Administrative Office / Sales Office",0,0,0,0,1,0,0,1,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","At-Grade Fixed Guideway Station",0,0,0,0,0,0,0,1,1,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Bus Transfer Center",0,0,0,0,0,2,3,4,3,0,12
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Elevated Fixed Guideway Station",0,0,0,0,0,0,0,4,0,0,4
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Exclusive Platform Station",0,0,0,0,0,0,0,4,0,0,4
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,3,3,4,0,0,0,10
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Other, Administrative & Maintenance",0,0,0,0,1,7,2,2,2,0,14
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Parking Structure",0,0,0,0,0,2,5,6,7,0,20
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Revenue Collection Facility",0,0,0,0,0,0,1,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Surface Parking Lot",0,0,0,0,2,10,16,16,5,0,49
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Underground Fixed Guideway Station",0,0,0,0,0,0,0,5,2,0,7
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Vehicle Fueling Facility",0,0,0,0,2,2,2,0,0,0,6
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB","Vehicle Washing Facility",0,0,0,0,0,1,1,0,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB, TB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,1,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB, TB","Heavy Maintenance & Overhaul (Backshop)",0,0,0,0,1,0,0,0,0,0,1
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"MB, TB","Vehicle Fueling Facility",0,0,0,0,0,2,0,0,0,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"SR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,1,1,0,2
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"SR","Simple At-Grade Platform Station",0,0,0,0,0,0,0,11,14,0,25
"King County Department of Metro Transit, dba: King County Metro","Seattle","WA","1","1","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,3371,"VP","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,1,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"DR","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"DR","Combined Administrative and Maintenance Facility",0,0,0,0,0,1,0,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,1,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,1,0,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"MB","Other, Administrative & Maintenance",0,0,0,0,0,0,0,0,1,0,1
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"MB","Other, Passenger or Parking",0,0,0,0,0,1,3,4,1,2,11
"Spokane Transit Authority","Spokane","WA","2","2","Independent Public Agency or Authority of Transit Service","Full Reporter",387847,315,"MB","Surface Parking Lot",0,0,0,0,0,1,0,0,0,0,1
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Administrative Office / Sales Office",0,0,0,0,3,1,0,1,0,0,5
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Bus Transfer Center",0,0,0,0,0,3,5,0,0,0,8
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Parking Structure",0,0,0,0,0,0,1,0,0,0,1
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Surface Parking Lot",0,0,0,0,0,2,2,0,0,0,4
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Vehicle Fueling Facility",0,0,0,0,0,1,0,0,0,0,1
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Tacoma","WA","3","3","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,514,"DR, MB","Vehicle Washing Facility",0,0,0,0,0,1,0,0,0,0,1
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","0T04","4","Tribe","Reduced Reporter",0,2,"FB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","0T04","4","Tribe","Reduced Reporter",0,2,"FB","Ferryboat Terminal",0,0,0,0,0,2,0,0,0,0,2
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,0,1,0,0,1
"City of Everett, dba: EVERETT TRANSIT SYSTEM","Everett","WA","5","5","City, County or Local Government Unit or Department of Transportation","Full Reporter",3059393,53,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,1,0,0,0,1
