"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA
 Population","Agency VOMS","Mode","TOS","Mode VOMS","Ratios:","Fare Revenues per Unlinked Passenger Trip","Fare Revenues per Unlinked Passenger Trip Questionable","Fare Revenues per Total Operating Expense (Recovery Ratio)","Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable","Cost per
 Hour","Cost per Hour Questionable","Passengers per Hour","Passengers per Hour Questionable","Cost per Passenger","Cost per Passenger Questionable","Cost per Passenger Mile","Cost per Passenger Mile Questionable","Source Data:","Fare Revenues Earned","Fare Revenues Earned Questionable","Total Operating Expenses","Total Operating Expenses Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Passenger Miles","Passenger Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Any data questionable?","...40","...41","...42","1","...44","...45"
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10856,"HR","DO",5364,NA,1.3329,NA,0.6911,NA,265.2713,NA,137.5479,NA,1.9286,NA,0.5075,NA,NA,3503324236,NA,5068977553,NA,2628355851,NA,19108654,NA,9989099073,NA,348452183,NA,"No",NA,NA,NA,"Hide questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10856,"CB","DO",488,NA,5.971,NA,0.3286,NA,388.9432,NA,21.4033,NA,18.1721,NA,1.4213,NA,NA,74061339,NA,225396480,NA,12403449,NA,579510,NA,158586769,NA,9246853,NA,"No",NA,NA,NA,"Show questionable data tags",NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10856,"MB","DO",3256,NA,1.2171,NA,0.3286,NA,211.1927,NA,57.0161,NA,3.7041,NA,1.7408,NA,NA,842210348,NA,2563162504,NA,691981427,NA,12136604,NA,1472423041,NA,85824679,NA,"No",NA,2,NA,"1",NA,2
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10856,"DR","PT",1602,NA,2.0125,NA,0.0224,NA,106.6733,NA,1.1893,NA,89.6963,NA,10.0283,NA,NA,10235744,NA,456195515,NA,5086003,NA,4276565,NA,45490979,NA,39961650,NA,"No",NA,NA,NA,NA,NA,NA
"MTA New York City Transit","New York","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10856,"RB","DO",146,NA,1.0977,NA,0.3286,NA,199.233,NA,59.6399,NA,3.3406,NA,1.8033,NA,NA,33232652,NA,101139444,NA,30275821,NA,507644,NA,56084904,NA,3314181,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"LR","PT",42,NA,0.9629,NA,0.1524,NA,775.8693,NA,122.8119,NA,6.3175,NA,1.6409,NA,NA,14949476,NA,98086952,NA,15526126,NA,126422,NA,59777983,NA,2084803,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"DR","PT",394,NA,1.8127,NA,0.0318,NA,98.0486,NA,1.7205,NA,56.9886,NA,9.201,NA,NA,2965134,NA,93220848,NA,1635781,NA,950762,NA,10131563,NA,15581659,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"VP","PT",189,NA,2.8095,NA,0.2027,NA,96.2362,NA,6.9444,NA,13.8581,NA,0.3735,NA,NA,1903621,NA,9389667,NA,677560,NA,97569,NA,25137891,NA,4246718,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"MB","DO",1854,NA,2.6528,NA,0.4504,NA,165.376,NA,28.079,NA,5.8897,NA,0.7822,NA,NA,375610342,NA,833933765,NA,141592389,NA,5042652,NA,1066078886,NA,73150038,NA,"No",NA,NA,NA,NA,NA,NA
"New Jersey Transit Corporation","Newark","NJ","2080","20080","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",18351295,3873,"MB","PT",178,NA,0.9766,NA,0.1542,NA,106.8667,NA,16.8735,NA,6.3334,NA,1.5337,NA,NA,9813104,NA,63639745,NA,10048246,NA,595506,NA,41493521,NA,7123448,NA,"No",NA,NA,NA,NA,NA,NA
